inode,parent-inode,directory-depth,"filename","fileExtension",UID,GID,st_size,st_dev,st_blocks,st_nlink,"st_mode",st_atime,st_mtime,st_ctime,pw_fcount,pw_dirsum
8185853327,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/8f9a1a04-5f34-47a7-adb3-5f311bd19774_Writer4dc3bdd4-ab48-4d07-adb0-3bee2926fd7f.xml","xml",65534,65534,2908,59,48,1,"0100770",1690187129,1690187129,1690187129,-1,0
8185853325,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/8f9a1a04-5f34-47a7-adb3-5f311bd19774_Writer0bada1de-01a9-4625-8278-69e735f39dd2.xml","xml",65534,65534,3138,59,48,1,"0100770",1690187128,1690187128,1690187128,-1,0
8185853329,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/8f9a1a04-5f34-47a7-adb3-5f311bd19774_Writera6ad56c2-b509-4e6c-bb19-49d8f43532f0.xml","xml",65534,65534,1484,59,48,1,"0100770",1690187129,1690187129,1690187129,-1,0
5963514841,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/5072dc23-8a78-11e5-80b4-806e6f6e6963.vhdx","vhdx",65534,65534,60936945664,59,133665856,1,"0100770",1690187132,1690187132,1690187132,-1,0
8181810469,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/8f9a1a04-5f34-47a7-adb3-5f311bd19774_Writer542da469-d3e1-473c-9f4f-7847f01fc64f.xml","xml",65534,65534,1488,59,48,1,"0100770",1690187129,1690187129,1690187129,-1,0
8181810473,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/8f9a1a04-5f34-47a7-adb3-5f311bd19774_AdditionalFilesc3b9f3c7-5e52-4d5e-8b20-19adc95a34c7.xml","xml",65534,65534,776,59,48,1,"0100770",1690187129,1690187129,1690187129,-1,0
8181810472,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/8f9a1a04-5f34-47a7-adb3-5f311bd19774_Writerb2014c9e-8711-4c5c-a5a9-3cf384484757.xml","xml",65534,65534,1850,59,48,1,"0100770",1690187129,1690187129,1690187129,-1,0
8181810468,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/8f9a1a04-5f34-47a7-adb3-5f311bd19774_Writerbe000cbe-11fe-4426-9c58-531aa6355fc4.xml","xml",65534,65534,3988,59,48,1,"0100770",1690187129,1690187129,1690187129,-1,0
8185853332,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/8f9a1a04-5f34-47a7-adb3-5f311bd19774_Components.xml","xml",65534,65534,12462,59,144,1,"0100770",1690187131,1690187131,1690187131,-1,0
8181810471,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/8f9a1a04-5f34-47a7-adb3-5f311bd19774_Writer4969d978-be47-48b0-b100-f328f07ac1e0.xml","xml",65534,65534,1196,59,48,1,"0100770",1690187129,1690187129,1690187129,-1,0
8185853330,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/8f9a1a04-5f34-47a7-adb3-5f311bd19774_RegistryExcludes.xml","xml",65534,65534,8560,59,144,1,"0100770",1690187129,1690187129,1690187129,-1,0
8181810470,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/8f9a1a04-5f34-47a7-adb3-5f311bd19774_Writerafbab4a2-367d-4d15-a586-71dbb18f8485.xml","xml",65534,65534,3828,59,48,1,"0100770",1690187129,1690187129,1690187129,-1,0
8181810467,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/8f9a1a04-5f34-47a7-adb3-5f311bd19774_Writer75dfb225-e2e4-4d39-9ac9-ffaff65ddf06.xml","xml",65534,65534,1628,59,48,1,"0100770",1690187128,1690187128,1690187128,-1,0
8185853331,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/BackupSpecs.xml","xml",65534,65534,1274,59,48,1,"0100770",1690187129,1690187129,1690187129,-1,0
8181810466,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/8f9a1a04-5f34-47a7-adb3-5f311bd19774_Writerd61d61c8-d73a-4eee-8cdd-f6f9786b7124.xml","xml",65534,65534,1746,59,48,1,"0100770",1690187128,1690187128,1690187128,-1,0
5963514840,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/5072dc22-8a78-11e5-80b4-806e6f6e6963.vhdx","vhdx",65534,65534,333447168,59,714096,1,"0100770",1690187132,1690187132,1690187132,-1,0
8185853326,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/8f9a1a04-5f34-47a7-adb3-5f311bd19774_Writere8132975-6f93-4464-a53e-1050253ae220.xml","xml",65534,65534,3982402,59,10624,1,"0100770",1690187128,1690187128,1690187128,-1,0
5963514839,5963514837,4,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512","",65534,65534,1617,59,64,2,"0040770",1690187131,1690187131,1690187131,18,61274423888
8185866853,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/2ab5752a-db91-4528-a33f-682c3c8dbd67_Writerb2014c9e-8711-4c5c-a5a9-3cf384484757.xml","xml",65534,65534,1850,59,48,1,"0100770",1690446545,1690446545,1690446545,-1,0
